Rated,Country,Genre,Language,Actores
R,USA,Action,English,Other
N/A,Poland,Adventure,French,Leonardo.DiCaprio
PG,Russia,Animation,Polish,Christian.Bale
PG-13,India,Biography,Hindi,Gary.Oldman
NOT RATED,Hong.Kong,Comedy,Cantonese,Mark.Wahlberg
UNRATED,China,Crime,Spanish,Johnny.Depp
G,Spain,Drama,Italian,Matt.Damon
TV-14,Denmark,Family,Swedish,Denzel.Washington
TV-MA,Sweden,Fantasy,Russian,Daniel.Day.Lewis
TV-PG,Canada,History,Portuguese,Russell.Crowe
M,Germany,Horror,Mandarin,Steve.Carell
X,UK,Music,German,Robert.Downey.Jr.
12A,France,Musical,Romanian,Edward.Norton
NC-17,Norway,Mystery,Danish,George.Clooney
AO,Portugal,Romance,Czech,Brad.Pitt
TV-G,Italy,Sci.Fi,Arabic,Josh.Brolin
OPEN,Mexico,Sport,Tagalog,Ryan.Reynolds
,New.Zealand,Thriller,Filipino,Paul.Rudd
,Switzerland,War,Ukrainian,Geoffrey.Rush
,Japan,N.A,N.A,James.Franco
,Ireland,,Latin,Ken.Watanabe
,Finland,,Japanese,Will.Smith
,Netherlands,,Urdu,Aaron.Eckhart
,Brazil,,Hebrew,Joseph.Gordon.Levitt
,Luxembourg,,Turkish,Clive.Owen
,Taiwan,,Bulgarian,Jack.Nicholson
,Czech.Republic,,Greek,Will.Ferrell
,Belgium,,Serbian,Stanley.Tucci
,Israel,,Vietnamese,Benicio.Del.Toro
,Austria,,Dutch,Jamie.Foxx
,Philippines,,Norwegian,James.Gandolfini
,Singapore,,Croatian,Tommy.Lee.Jones
,Romania,,Irish,Josh.Hartnett
,Argentina,,Hungarian,Eric.Bana
,Hungary,,Tamil,Greg.Kinnear
,Croatia,,Persian,Jon.Hamm
,Iran,,Finnish,Kaya.Scodelario
,South.Korea,,Bengali,Scarlett.Johansson
,Slovenia,,Thai,Emilia.Clarke
,Colombia,,Panjabi,Anna.Kendrick
,Chile,,Korean,Rooney.Mara
,Thailand,,Telugu,Chlöe.Grace.Moretz
,Turkey,,Marathi,Maggie.Gyllenhaal
,Indonesia,,Malay,Mary.Louise.Parker
,Bosnia.and.Herzegovina,,Malayalam,Kate.Hudson
,United.Arab.Emirates,,Indonesian,Sandra.Bullock
,Serbia,,Bosnian,Natalie.Portman
,,,Flemish,Aubrey.Plaza
,,,,Katie.Holmes
,,,,Kate.Beckinsale
,,,,Imogen.Poots
,,,,Marisa.Tomei
,,,,Julia.Roberts
,,,,Uma.Thurman
,,,,Zoe.Saldana
,,,,Emma.Stone
,,,,Jessica.Alba
,,,,Penélope.Cruz
,,,,Kristen.Stewart
,,,,Felicity.Jones